,2025-09-18,2025-09-19,2025-09-20,2025-09-21,2025-09-22,2025-09-23,2025-09-24,2025-09-25,2025-09-26,2025-09-27,2025-09-28,2025-09-29,2025-09-30,2025-10-01,2025-10-02,2025-10-03,2025-10-04,2025-10-05,2025-10-06,2025-10-07,2025-10-08,2025-10-09,2025-10-10,2025-10-11,2025-10-12,2025-10-13,2025-10-14,2025-10-15,2025-10-16,2025-10-17
BTC,-0.00231142688144248,-0.010214024388911946,-0.00024791317976780025,-0.018376353210744156,-0.007503066198593311,-0.000688999960834713,-0.008251020731773862,-0.0216069401257325,0.003287945059986752,-0.002738013867298661,0.021771399575553296,0.0191247453029586,0.006255781624329604,0.032926804019179245,0.013418125481665655,0.0222621074090108,0.02007614888865694,-0.011891358248853678,0.006589525415320541,-0.025395516353667658,0.006960426721663859,-0.004259379816464182,-0.07441108350709791,-0.0066334576571733805,0.025942056381543788,-0.01786805504296063,-0.0015908101867064817,-0.013400505239601568,-0.02298036663550518,-0.014976874259079898
ETH,-0.009741232588544646,-0.013838968005277619,4.513403011463524e-05,-0.06113961897134734,-0.004544533398359696,-0.003297452672548884,-0.035500500056739215,-0.025331253337604887,0.024904611615817585,-0.0022438210587969465,0.025420901277047436,0.01680027574757914,-0.008190866596875956,0.057266647415811,0.020943224750682887,0.005919217794282172,0.013958582723543334,-0.008626298777592911,0.04080855701010244,-0.05877623600918669,0.0041470501904519175,-0.01944475507959109,-0.1306203532560991,0.004100971032903189,0.08380319342058562,-0.014658929678349364,0.009815629410360405,-0.02908446836219003,-0.023032267548561136,-0.008683461668341996
USDT,7.842761847420832e-05,0.00012301495616307,8.15532472882019e-05,-1.427724847902212e-06,9.044574605021616e-05,-0.0004179592743734917,-8.221695517274252e-05,0.0004469838090830347,1.1620465606432262e-05,-0.00039245063661130786,4.8107902729688234e-05,0.00021190199941600874,-0.00032944715138993885,0.00039349089671869564,2.0054794537927023e-05,0.00013817486976352988,-0.0006263611289566429,0.00016959561582674532,0.0002460532893571177,-0.000182197818054175,-6.772751081696171e-05,9.097790314460674e-05,0.0011952055962498598,-0.00021902227952586006,-0.0003626906007810904,7.567198490932014e-05,-0.0002668926565897456,-3.01533797393283e-05,-0.0002109695825588398,0.00019221364472499225
BNB,0.002011767942782683,0.0033545150547762415,0.0705531935584518,-0.04054472860707281,-0.03537511803717874,0.026606583921466642,-0.0171466004144204,-0.05759656107208777,0.03095191069060199,0.002998855236828968,0.039411604409679946,0.014191775072058821,-0.012730753224933555,0.019697982280570736,0.06193223939007764,0.07527219680707398,0.0007723875242036105,0.011874890722295639,0.05610589438024438,0.019636350207484554,0.009246984170322436,-0.01860935308880185,-0.12599116905703522,0.032041055072002944,0.1297309980271779,-0.04642459977569857,-0.03508520622324007,-0.008885607308493304,-0.04446488643977653,-0.036032432566648676
SOL,0.003190363569288257,-0.02479483635857871,0.004487232591120938,-0.05515203637956312,-0.04432207946901301,-0.03304125595274965,-0.02113066206739933,-0.051036908619013444,0.03842924049571872,-0.006100748649528587,0.03898512607154392,0.004802401824768543,-0.0043561572635636425,0.07121970083678142,0.03147768116846117,-0.006396161233145792,0.019508523329104355,-0.009094309577525772,0.006392040327871218,-0.06129531901653995,0.03769201848280779,-0.026678196102710383,-0.17439586128303342,-0.006617486422595742,0.06819505430977935,0.03164377410186758,0.020848343212852116,-0.058685508325967084,-0.03426424473260148,-0.006546338738822155
USDC,-5.8757858340530156e-05,6.630501571702752e-05,-1.6378184307219712e-05,4.211493785488685e-06,-6.217161387900294e-05,6.27689306378354e-05,2.1347656911085977e-06,-5.268141513026237e-07,-3.8344076958019e-07,-0.00010548034727264621,0.0001092414674386255,-0.0001584172743208656,5.615276821058224e-05,0.00019585199464966507,-0.00010185456544831162,2.539388302968959e-06,-7.434025189878568e-06,1.0841320742915883e-05,9.63345638502755e-05,-9.133818386797277e-05,-1.2055940322719394e-05,3.204630268704989e-06,1.983238482194949e-05,0.00017961499126473157,-6.800478769142249e-05,6.627116890101092e-05,-8.896610511122116e-05,-4.837154754411266e-06,2.274000164015355e-05,-2.859423754997259e-05
XRP,-0.010533782723284757,-0.014842931681779414,0.0016954233561263798,-0.048399136256368935,0.0035200288717107675,-0.0047709459742183435,0.0017916677643206036,-0.03809978448084661,0.013068942896506508,-0.0030095451384341,0.02761568557248184,0.013963432637924766,-0.018138244344543253,0.041998394200573275,0.01912624027684595,0.00014197328992548996,0.00325676200016356,-0.019771760552994455,0.006128445332686194,-0.0459339488339684,-0.007396858195626854,-0.0021290325229254004,-0.14614431330716826,-0.015383078856313626,0.07264226765787085,-0.016842322824123124,-0.0029493925141472754,-0.037177880603024294,-0.02905582751827418,-0.0006796462186726693
DOGE,-0.011169201125113215,-0.03435787086118047,0.0062103134531357185,-0.08045203019677838,-0.02741781754434014,-0.004821227757620394,-0.01702632099274448,-0.038181280566916165,0.030275384823217344,-0.020038136856312727,0.025095479979425184,-0.006548053035088208,0.004021178917768653,0.08780123488591673,0.01432612845445247,-0.01496673224151801,0.03061991661243657,-0.0300583941963799,0.04894412610604504,-0.07800662558411187,0.01788703929959312,0.009909424485321283,-0.2381796128571757,-0.01598790871390654,0.10049996544600437,-0.020708006981326466,0.0016808420334633034,-0.039354049808797975,-0.03868862924627903,-0.009588613391110945
TON,0.01136121876730023,-0.02343336479750513,-0.003833671285116691,-0.035350163537018475,-0.05973280648632828,0.013260503270228652,-0.016956829926722317,-0.04540412571814301,0.024445558851467597,-0.01786564272200819,0.010634620663494188,-0.016690931313907975,0.0037267602883406248,0.05370439686317052,-0.004740258521934049,0.00924977066546262,0.002810730085140545,-0.009930839193162955,0.0180491213987497,-0.04392228751234506,0.009538853436954264,-0.0105553161110149,-0.2253776335060138,0.007417541517829029,0.06539389234272619,-0.005843818850255755,0.013589546192483981,-0.02832915344626008,-0.029447551430103136,-0.016722019635221685
ADA,0.007969468245278888,-0.01834536312814483,-0.0007277248227356425,-0.06614857119641326,-0.023727107179947193,-0.006666777051985706,-0.020058492473368772,-0.03181188369218779,0.025829127758900228,-0.022475871204920894,0.03330304903782544,0.0010790242031104569,0.0043359814279695374,0.0623979444893914,0.007380891662156053,-0.006127704414963353,0.018067999558224468,-0.03325691551777066,0.03563770280356904,-0.06722791419349039,0.009252279775477934,0.0006052452789064855,-0.2105045238949007,-0.0011539926345083273,0.08357781804855557,-0.0068010479513184174,0.0014384130481694957,-0.04168730460886094,-0.03960437191656274,-0.020913978295699853
SHIB,-0.010876839449571185,-0.02169393990518287,0.004341955142861398,-0.05350380364583873,-0.018900451948922425,0.008743669446369617,-0.01741371772929534,-0.02453841014289926,0.01767150102746995,-0.015225660169736699,0.01735635957724968,-0.008676853553140407,0.007854330677303789,0.05765945693831087,-0.009389824948835446,0.007029846892204317,0.007845209609451231,-0.01643360682474304,0.029621698387439332,-0.05828346006059959,0.009341301475867647,-0.007080786428723451,-0.15526124196804847,-0.020122235931821497,0.0625538534620187,-0.0013417025297168816,0.00819330889586456,-0.0381822987330287,-0.037315222562748995,-0.010297865626552438
AVAX,0.05143566911548292,-0.015316932655427218,-0.02358504659676286,-0.051602887735960334,0.10500148707892132,-0.01731375855235806,-0.07898672484738867,-0.10561522870337403,0.02733532573942865,-0.01972144118202601,0.04128537873218163,0.013415887555088712,0.003946631493599417,0.03029450527833122,-0.008783333716492536,0.01975188256847038,-0.010907023690270634,-0.018898300848460114,0.007207044145321362,-0.07801682411124455,0.013098781850194419,0.0029863759913197896,-0.22568130921012863,-0.03136341167291956,0.047037666763602326,0.018629092557377325,-0.0039442921891086336,-0.0404788756119856,-0.056260046692999,-0.02409062119021077
TRX,0.00918391180829281,-0.0029877351962124266,-0.0019498454520117114,-0.01966759543485097,0.003949136319997271,-0.008198047909583672,-0.007676379195301619,-0.0058582875069073115,0.01575984132691688,-0.004768946625835935,-0.004946229663202573,0.003648774365019314,-0.006362726098112392,0.021395487577678507,0.006433995330890729,-0.008936968384082422,0.0044438560212174405,-0.0004026587604955001,0.010431778968080119,-0.02568449935995054,0.008683904446671997,-0.009956638142312957,-0.055303543474857664,-0.00751045806658468,0.023527423737202957,-0.015731170229224767,-0.00022782308039570598,0.009448440676188552,-0.01172893011179843,-0.014847731535121311
DOT,0.0413228421982581,-0.057352344094933505,-0.0017517214920946822,-0.0659981031649024,-0.018496271823277954,0.005904725593039117,-0.021260687432515635,-0.029356497872053633,0.018789422095655484,-0.018642590398805448,0.03583239895437451,-0.008272635662860184,-0.0012349606073901453,0.07043244574874796,0.006253774403900625,0.012084554924614244,0.00528598193563079,-0.03201515920046949,0.04723718913504937,-0.05934969978752713,-4.1700068965089265e-05,0.00957018413466404,-0.24129033127298227,-0.037435922539688304,0.0693912307728437,-0.004735835918512121,0.011598020465532599,-0.03818016489277021,-0.03911394340630869,-0.028678481043439175
BCH,-0.03864742691659284,-0.010327209822323047,-0.007728867427769792,-0.024661214104029328,-0.039641425928926166,-0.000718484542297948,-0.017408480877484367,-0.024927933439305994,0.011480613990960009,-0.009796251770329834,0.03893559643836708,0.0019075672524493381,0.003087627481596966,0.03938507922304724,0.02926757121131951,-0.01119231643018559,0.018565646850678963,-0.01220709190806446,-0.002082347616103042,-0.037970076570799094,0.009257757491722751,0.018939579891035896,-0.10170227305518886,-0.016561697915112306,0.03486036923084801,-0.020659936656671873,0.012355937048470933,-0.026983868136188804,-0.037264684201973375,-0.05060826324033496
LINK,0.02447122290743997,-0.04224481867068142,-0.002219423759910133,-0.0699413098186833,-0.01199140904023177,0.00736915122390136,-0.021846540886001575,-0.041820222406665386,0.03485334796147632,-0.013171937147764434,0.027916668898397834,0.009752900950486643,-0.010274703136421759,0.06620949986068458,-0.009968408572628262,-0.012609748173066038,0.013465029307659249,-0.0300712861414828,0.07239354500230077,-0.06905744824693627,0.025872248765688388,0.0075586640002605066,-0.21775742140351295,-0.015593575944911953,0.10626496974785948,-0.009520374494008221,-0.001496096328692187,-0.0520342408070259,-0.039462234985759514,-0.034076525160151694
NEAR,0.11103461957805028,-0.026385655187540213,-0.0037414332049983123,-0.07160633753507395,0.009573465225022337,0.024444817075487624,-0.03481646958510631,-0.07201438968129581,0.01772065715163551,-0.02001016798377353,0.03195841952046874,-0.0168775690611781,-0.023234726081932666,0.09999772450809452,-0.0014069927034267016,0.029649690791273553,0.02588425826120133,-0.04318428769408589,0.03139413377576594,-0.03961349442338369,0.00019943840408997993,0.04915040374077484,-0.21094909778147664,-0.04497705677989394,0.05891591198091528,0.015501560433701655,-0.011833575737252633,-0.05221369203175408,-0.05171913538014372,-0.02323671797598137
MATIC,-0.014818880444009808,-0.021273312947387213,-0.0033397938175748765,-0.06793452934878119,-0.038441265264081315,0.001838568894729109,-0.020524820088225426,-0.019349783821640876,0.03592752312020875,-0.0011753544462402843,0.021241798449957994,-0.010653455679872081,-0.0036480999568122563,0.061667245768719514,-0.0030424219123821317,-0.001801339331472973,0.013965108040693508,-0.011135423278350154,0.035802678479202044,-0.050007597493848976,0.013085401074687253,0.0029256919454567765,-0.19871900198093329,-0.014254921201101833,0.05694804041276069,0.003808739578784248,0.0021103383621847716,-0.025441969389394026,-0.04160837779869997,-0.050874265846290956
LTC,0.002255821035153982,-0.021570550132967603,0.0009780537593861993,-0.037784900191681126,-0.04182489346769935,0.013982748708240011,-0.02385401821118227,-0.015843366891266863,0.00841969016878763,0.0006503708828853316,0.02052461391330529,0.0025758031921501168,0.0007310178113908439,0.10789854606452987,-0.002850205868642597,0.0125638421707579,0.020957408801723254,-0.007082646533702497,-0.016080485634246577,-0.025761336566573312,0.026466294358101328,0.09246478477690045,-0.23951016705273886,-0.041040158274088245,0.019447788694523904,-0.008805871321819314,0.026902011632359057,-0.03909503662967384,-0.031177794704315365,-0.007369150317957152
ICP,0.00611310313858926,-0.023287449002300953,0.0011472487264840847,-0.052791995745682496,-0.048696590694164765,0.012253915802549198,-0.028657145070258183,-0.03144303784282232,0.026220259052965655,-0.009094505125806562,0.019649307553682993,-0.010099505006412657,0.014827458849410169,0.05835962276565221,0.004990750830216273,0.008167146204999698,0.0047583986027321945,-0.01791010655650138,0.017154260050423087,-0.047552807656622065,0.015604856082281682,-0.002306649121857962,-0.2788712350113429,0.0035452769212516166,0.09012354726096716,0.011422127203839505,-0.016058608514024297,-0.04682812463562902,-0.05954707241214441,-0.023074202308917435
LEO,-0.001110760037184244,-0.003302661058389389,-0.0004524154649658829,-0.0004043028871374421,-0.0013938091790930418,0.0025124844389601275,0.0010740238162547655,-0.0015245482657504361,-0.001469677793006663,0.007600718245139859,0.00538604318795044,0.0014438861005439119,-0.010734589052006416,0.00719597179517506,0.0034799917244454637,0.002704691819936489,-0.00046921173420033657,0.0009336566117712497,-0.0014005694294598747,0.001624522896958025,8.297123050904354e-05,-0.005437131377037163,0.0004699091122450927,0.004061856475042092,-0.0011038373633338594,0.0004964384663665999,0.001022686499545955,-0.0012969881762667779,-0.0007399523775154515,-0.021744422609758618
DAI,-0.0003052032962048701,-0.0002607248982287036,0.00041773177890269686,-0.0002326666764996821,-0.0006645407136079973,0.0006003850931168841,1.0584531776824946e-05,-3.149757934617359e-05,-0.001296307322003587,0.00015221036244361663,0.0021296007644293624,-0.00012967057557700112,-0.000893812985882092,-0.0002522151995379973,0.0006821207338736368,-0.0005532012336175729,-0.00029385973510265284,0.000976976053233436,0.00018804094517510528,0.0002738245049185295,-0.0008107429785876308,0.00012536751713709826,-0.0012824867912404336,0.0009675476709354314,-0.0008438504017190818,0.002179757197245502,7.379976201349336e-05,-0.0008184388073265714,-9.714186827691762e-05,-0.00015197560078372696
UNI,-0.016263968460432987,-0.021670328932742677,-0.000891408417888484,-0.06389287283757139,-0.05507396133891551,-0.003238045491795294,-0.04419651606859898,-0.03673566372457937,0.011609807181950593,-0.0029808612164332615,0.022759874136448754,-0.008738408109996487,-0.0014269561491384586,0.07151107408634871,0.012709157337663646,-0.023995963909267504,0.02267302329235843,-0.01909948412619622,0.02316446990286858,-0.07000621885829861,0.02424968286953022,0.04570461248119684,-0.2901389023575254,0.03760197700431234,0.08526259523540003,0.015117578322191072,0.016108645679620448,-0.035109171857373944,-0.03918534620204628,-0.02485790396993115
APT,0.01462751998412637,-0.005732593649577344,0.0033333868668037336,-0.04896098659979353,-0.03133103804399451,0.004895862837339671,-0.031055777187980582,-0.052666474335458235,0.039703042686410006,0.00685382612685026,0.030321046699282705,-0.0030379691924233843,0.04102433200071087,0.10241951505776403,0.045405462362766436,0.06770526368597518,-0.014505494109577133,-0.0077206414765541576,-0.00025913902383045695,0.002274048918133431,-0.05157034249431802,0.002531319911825314,-0.20823441241158436,-0.10053948801290746,0.056970169015663874,-0.02965175639808504,-0.010812076230570455,-0.04882445613049047,-0.06848527717957043,-0.027604156323437934
